tune,english
sonzudo,adversarial
vegara,adversaries
kavandawa,adversary
xeguro,adverse
xeguro,adverse
sufuna,advice
xidruxa,advisabilites
rosloma,advisability
sufunikano,advisable
truqura,advisableness
sufuni,advise
sufuniha,advised
sufunihayo,advisedly
vusnaka,advisement
flaluma,advisements
sufuniho,advising
sufuniwa,advisor
nuluna,advisories
fagzifa,advisors
doyeva,advisory
smezeqa,advocacy
spukevi,advocate
spukeviha,advocated
spukeviho,advocating
spukeva,advocation
hesirda,advocations
spukevinado,advocative
spukeviwa,advocator
mebofka,advocators
buplimo,afar
mavurta,affair
txuxoka,affairs
wutrafa,affect
duminda,affectability
wutrafikano,affectable
wutrafiha,affected
numdisa,affectedness
wutrafiho,affecting
wutrafihoyo,affectingly
ribasta,affection
loltefo,affectional
loltefoyo,affectionally
ribasto,affectionate
ribastoyo,affectionately
dowirpiha,affectioned
brumolalaso,affectionless
lortega,affections
wutrafinado,affective
wutrafinadoyo,affectively
vagatxi,affirm
vagatxa,affirmation
remdesa,affirmations
vagatxinado,affirmative
gliraminadoyo,affirmatively
gliramiha,affirmed
gliramiho,affirming
degzifi,afflict
degzifiha,afflicted
degzifiho,afflicting
degzifa,affliction
zidaxa,afflictions
degzifinado,afflictive
degzifinadoyo,afflictively
yegifi,afford
yalziza,affordability
yegifikano,affordable
yegifiha,afforded
yegifiho,affording
xortobo,against
yukrula,age
yukruliha,aged
yukrulayoga,ageism
yukrulalaso,ageless
yukrulalasoyo,agelessly
findoba,agelessness
yagofta,ages
bostodi,aggravate
kapluziha,aggressed
zorpoxa,aggression
boxuza,aggressions
sogliso,aggressive
dirdidoyo,aggressively
sibofovana,aggressiveness
lugekiwa,aggressor
wivrifa,aggressors
yukruliho,aging
woqatxi,agitate
woqatxi,agitate
woqatxiha,agitated
woqatxihayo,agitatedly
woqatxiho,agitating
woqatxa,agitation
woqatxo,agitational
gotxaka,agitations
woqatxinado,agitative
woqatxiwa,agitator
srefola,agitators
vakras,agony
trogoli,agree
xugzaga,agreeabilities
dukuxa,agreeability
trogolikano,agreeable
bibafa,agreeableness
trogolikanoyo,agreeably
trogoliha,agreed
trogoliho,agreeing
trogola,agreement
klaruqa,agreements
bubuspo,ahead
ravrevi,aim
ravreviha,aimed
ravreviho,aiming
ravrevilaso,aimless
ravrevilasoyo,aimlessly
karpaga,air
karpagiha,aired
karpagoyo,airily
karpagiho,airing
bibifka,airport
karpago,airy
plamami,alarm
plamamiha,alarmed
plamamiho,alarming
plamamihoyo,alarmingly
plamamiwa,alarmist
butraga,alarms
flasini,alert
flasiniha,alerted
flasiniwa,alerter
fofluna,alerters
flasiniho,alerting
mesnuma,alertness
yiyafka,algorithm
yiyafko,algorithmic
yiyafkoyo,algorithmically
bebusta,alien
bebustiha,alienated
bebustiho,alienating
slukaga,alienation
humzimavana,allegiance
fulzuma,allegiances
vruxeda,allegiant
humzimiho,alleging
grofexo,almighty
luvivo,aloof
spirebo,aloud
sesnisa,alphabet
sahefko,already
tisapi,alter
tisapiho,altered
dekloko,altogether
susnifo,altruistic
rowusti,amaze
rowustiha,amazed
rowustihayo,amazedly
rowusta,amazement
rowustiho,amazing
rowustihoyo,amazingly
yomuv,ambiguous
yosmeqo,ambitious
fabulpo,amphibian
frenasa,amplitude
gubixi,amuse
lopato,analogical
rasliba,analogies
lopata,analogy
seskisiho,analysing
seskisa,analysis
seskisawa,analyst
seskiso,analytic
seskisovano,analytical
seskisovanoyo,analytically
seskisi,analyze
raxovo,ancient
raxovoyo,anciently
mexova,anger
mexovi,anger (action)
mexoviha,angered
mexoviho,angering
mexovoyo,angrily
mexovo,angry (feature)
yeyiti,announce
yeyitiha,announced
yeyita,announcement
yeyitiwa,announcer
lihesta,announcers
yeyitiho,announcing
basobi,annoy
basobiha,annoyed
basobiho,annoying
basobawa,annoying and irritating person
basobihoyo,annoyingly
dulzino,annual
dulzini,annualise
dulziniha,annualised
dulzinoyo,annually
nofrebi,annul
nofrebiha,annulled
nofreba,annullment
dirtara,annunciation
lafuspa,annunciations
zayorda,anointed one
bodafta,anonymity
yinduxo,anonymous
yinduxoyo,anonymously
brapita,answer
brapitikano,answerable
brapitiha,answered
brapitiho,answering
drogeg,antecedent
sosluda,antiquity
tredeka,anxiety
tredeko,anxious
tredekoyo,anxiously
fedona,anxiousness
babimo,apart
gonuga,apparatus
zeviqko,apparent
zeviqkoyo,apparently
momdidi,appeal
momdidikano,appealable
kuxobikano,appealable
momdidiha,appealed
momdidiho,appealing
momdidiho,appealing
momdidihoyo,appealingly
momdidihoyo,appealingly
hosedi,appear
hosedivana,appearance
hoseda,appearance (an appearance)
hosediha,appeared
hosediho,appearing
pliziza,appliance
gudova,applicability
gudova,applicability
blemadikano,applicable
blemadiwa,applicant
blemada,application
blemadiha,applied
blemadi,apply
blemadiho,applying
ruworpi,appoint
ruworpiha,appointed
ruworpiho,appointing
ruworpa,appointment
bemdiri,appreciate
bemdiriha,appreciated
bemdiriha,appreciated
bemdiriho,appreciating
bemdira,appreciation
bemdirinado,appreciative
bemdirinadoyo,appreciatively
ralisti,approach
yugzuqa,approachability
ralistikano,approachable
ralistikano,approachable
ralistiha,approached
ralistiho,approaching
prugoxa,approval
prugoxi,approve
prugoxiha,approved
prugoxiho,approving
prugoxihoyo,approvingly
fravaki,approximate
famubo,arcane
yugida,arch
lufridikanoyo,arguably
lufridi,argue
lufridiha,argued
lufridiho,arguing
lufridinado,argumentative
dufani,arise
zofrexo,aromatic
zofrexa,aromaticity
zisigo,around
lufifki,arouse
baqkuli,arrange
baqkuliho,arranged
baqkula,arrangement
baqkuliha,arranging
praleba,arrest
pralebi,arrest (action)
pralebiha,arrested
pralebiwa,arrester
pralebiho,arresting
fromuma,arrival
ramemi,arrive (action)
resetxiha,arrived
zaqkikiho,arriving
slobimovana,arrogance
slobimo,arrogant
slobimi,arrogant (action)
honufi,articulate
netxor,ascertain
tragumo,ashamed
vruquni,ask
vruquniha,asked
vruquniho,asking
wekafta,assemblage/assembly
wekaftiha,assembled
wekaftiwa,assembler
wekaftiho,assembling
kosnegi,assert
kosnegiha,asserted
kosnegiho,asserting
kosnega,assertion
kosneginado,assertive
kosneginadoyo,assertively
smenuma,assertiveness
tutosi,assess
tutosiha,assessed
tutosiho,assessing
tutosa,assessment
neyurdi,assist
neyurdivana,assistance
neyurdiwa,assistant
beyava,assistantship
neyurdiha,assisted
neyurdiho,assisting
gaxirdi,associate
gaxirdiha,associated
gaxirdiho,associating
kizatxa,association
gaxirdinado,associative
xuvaf,assumed
gevrol,assuming
yazesk,assumption
hibiftivana,assurance
hibifti,assure
hibiftiha,assured
hibiftihayo,assuredly
hibiftiho,assuring
seftufo,atmospheric
xuxedi,atone
snenuriha,atoned
snenura,atonement
snenuriho,atoning
wetxoxi,attach
wetxoxikano,attachable
wetxoxiha,attached
wetxoxiho,attaching
wetxoxa,attachment
fixaxi,attack
fixaxiha,attacked
fixaxiwa,attacker
fixaxiho,attacking
lulzori,attain
lulzorikano,attainable
lulzoriha,attained
lulzoriho,attaining
zakuspa,attainment
wostoki,attempt
wostokiha,attempted
wostokiho,attempting
yemduxi,attend
yemduxivana,attendance
yemduxiha,attended
yemduxiha,attended
yemduxiwa,attendee
yemduxiho,attending
yemduxa,attention
yemduxanado,attentive
defufta,attentiveness
vrogebo,auditory
xozifa,aura
daframiwa,author
mumzamo,automatic
mumzamoyo,automatically
mumzama,automation
hafranivana,availability
hafrano,available
hafrana,availableness
xiblaga,aversion
xiblagi,avert
xiblagiha,averted
xiblagiho,averting
dogzosi,avoid
dogzosakano,avoidable
dogzosakano,avoidable
dogzosakanoyo,avoidably
dogzosivana,avoidance
dogzosiha,avoided
dogzosiho,avoiding
xovindo,away
guwulpo,awesome
yiklado,awful
plupeto,awkward
nodetxi,baffle
nodetxiha,baffled
nodetxa,bafflement
nodetxiwa,baffler
nodetxiho,baffling
nodetxihoyo,bafflingly
befid,baggy
wixuftiho,baising
malen,bait
fludanavana,balance
snekuka,ball
musnem,bang
kortosa,battle
yandava,beach
txudusi,beam
txudusiha,beamed
txudusoyo,beamily
txudusiho,beaming
nupluro,beautiful
munzoba,beauty
blosodo,become
liprobi,beg
liprobiwa,beggar
liprobiha,begged
liprobiho,begging
zevirdo,behind
vraleqa,being
hordasa,believability
laxagikano,believable
nobutxikano,believable
nehafikanoyo,believably
faskidi,believe
txemuriha,believed
nunifkiwa,believer
palpetiwa,believer
moloftiho,believing
tetudihoyo,believingly
begexi,belong
xevrada,beloved
gostezo,beneath
nomutxo,beneficial
nomutxiyo,beneficially
frenina,beneficiary
nomutxiha,benefitted
nomutxiho,benefitting
deskebi,bet
yaqesk,beware
nublani,beware
fortev,bewilder
vuhivo,beyond
wixufta,bias
wixufti,bias (action)
wixuftiha,biased
pastuta,bind
sligoga,birth
vranoxo,bitter
lurdosa,blame
lurdosi,blame (action)
lurdosiha,blamed
voxisti,blameless
voxistilasoyo,blamelessly
lurdosiho,blaming
smesubo,bland
sruquqo,blank
sruquqiho,blanking
sruquqoyo,blankly
basido,bleak
reqkeni,blend
reqkeniha,blended
reqkeniwa,blender
senolpa,blenders
reqkeniho,blending
hemolta,blindness
kazdaka,bliss
toplipi,block (stand in the way of)
toplipiha,blocked
toplipiwa,blocker
toplipiho,blocking
kruvisi,blow
kruvisiwa,blower
kruvisiho,blowing
hivrixa,bluff
hivrixiha,bluffed
hivrixiho,bluffing
hivrixoyo,bluffly
hamuft,blunted
vufuv,blunting
basnan,bluntly
dirend,bluntness
nubisti,board
nubistiha,boarded
nubistiwa,boarder
nubistiho,boarding
benurdiha,boiled
benurdiwa,boiler
benurdiho,boiling
wewosto,bold
wewostoyo,boldly
lunusta,boldness
fugiva,bolt
fugivi,bolt (action)
fugiviha,bolted
fugiviwa,bolter
fugiviho,bolting
regzeda,bond
wospaq,bootstrap
slemena,border
fiboni,bore
fiboniha,bored
fiboniha,bored
fiboniho,boring
fibonihoyo,boringly
zeyigi,born
grifavi,borrow
flekag,bother
krizubi,bounce
deyumo,bouncy
blaxixa,boundary
blaxixalaso,boundless
blaxixalasoxama,boundlessness
bosmasoyo,bountifully
geskoqi,brag
xakrasa,brain
xakrasalasoyo,brainlessly
xakraso,brainy
sadiba,brake
zoqolta,branch
fabridoyo,brashly
gonzivo,brave
nuslala,bread
wiplixi,break (into pieces)
wiplixikano,breakable
slesuri,breathe
nuglami,breed
patina,breeze
loskibi,bribe
vuzofka,bridge
wispixo,brief
wispixoyo,briefly
mufromo,bright
lafkubo,brilliant
davorti,bring
lizdori,brittle
hesmobo,broad
wiplixo,broken
wiplixoyo,brokenly
musofa,brother
vugrafa,bubble
ludreni,bubble (action)
bumabi,build
bumabiha,building
yiplaqa,bulk
yiplaqo,bulk
yiplaqoyo,bulkily
tiskup,bumble
pitolpa,bump
pitolpi,bump (action)
pitolpoyo,bumpily
pitolpo,bumpy
nuqkem,buoyant
nesemo,burly
nazdasi,burn
nazdasiho,burnt
fluqaqi,burst
kablegi,bury
hekaxo,bustling
pliqazo,busy
razuvo,but
pendeti,buy
pendeta,buy (object)
feproni,calculate
hiprusi,call
yatrasi,calm
yatrasiha,calming
snofosa,camp
snofosi,camp (action)
gruxodi,cancel
gruxodiho,cancelled
pepinda,cap
birido,capable
birida,capacity
fisetxo,captive
moslumi,capture
mosluma,capture (object)
femindo,cardinal
kodoga,care
kodogalaso,carefree
kodogafalo,careful
kodogalaso,careless
kodogo,caring
ziklusi,carry
kogrimi,cast (mold)
bofira,cast (object)
yeglizi,catalyze
lafonoyo,categorical
lafona,category
fusrosa,ceiling
froqexa,cell
rofutxo,central
zatremoyo,centrally
xezdak,centrically
letruqo,certain
letruqa,certainty
yosteva,chair
flidada,challenge
flidadi,challenge (action)
flidadihoyo,challengingly
forzifa,channel
zexeski,chant
smifori,char (burn to a crisp)
nenzomo,character traits
nenzomo,characteristic
nenzomoyo,characteristically
nenzomi,characterize
vayuski,charge
rolorpa,charity
mespoma,charm
mespomo,charming
mespomoyo,charmingly
kuvunda,chart
yaneki,chase
mubulto,chaste
mubulti,chastity
vukemi,chat
peflato,cheap
feyavi,cheat
slisali,check
twevaqoyo,cheekily
twevaqo,cheeky
wexeba,cheer
wexebafalo,cheerful
wexeboyo,cheerily
surzora,chemical
zoskuqi,chew
bedrino,chilly
kisroxa,chime
smolol,chipper
plunom,chivalrous
saqkuna,choice
saqkuno,choice (feature)
saqkunoyo,choicely
bipeto,choke
saqkuni,choose
wedagi,chop
wedaga,chop (object)
wedagoyo,choppily
wedago,choppy
ruslabo,chubby
fovruka,circle
sardola,circuit
fovruko,circular
fovrukoyo,circularly
robuspi,circulate
vofruxi,circumvent
sonasa,citation
gesoki,claim
basosp,clammy
fikizi,clarify
gayusta,class
smiveza,classic
smivezo,classical
smivezowa,classicalist
smivezoyo,classically
gayusto,classy
lamzubi,clean
fikizi,clear
boftefo,clever
boftefoyo,cleverly
txeburi,click
txebura,click (object)
desnuri,climb
slexoziho,clinging
frineni,clip
nenzisi,cloud (make hard to see)
nenzisoyo,cloudily
nenziso,cloudy
handofa,club
keqiskalaso,clueless
meskeno,clumsy
xivubi,cluster
sefkodiha,cluttered
brubeba,coach
gundogoyo,coarsely
slinuba,coast
vrogema,coat
geslaga,coil
plototo,cold
plotota,coldness
wuskevi,collapse
gabeki,collect
gabeka,collection
gabekinadoyo,collectively
smemoli,collide
randoda,color
randodafalo,colorful
notruxa,column
prudosavana,combinatorial
prudosi,combine
sanzesa,combustion
fesroli,come
hegzolikano,comfortable
mardosa,comfortableness
mardosayo,comfortably
hegzoloyo,comfortingly
maslada,command
kruqona,comment
mevogi,commit
nendofo,common
daribi,communicate
nomzosikano,comparably
nomzosi,compare
nomzosa,comparison
ziqitx,compass
nomzosa,compassion
hartuxi,compensate
hartuxa,compensation (payment for work)
mibrebi,compete
twisisa,competence
waraspa,compile
raskami,complain
dablemi,complement
dablemovana,complementarity
sesrubo,complex
sonus,compliant
kefluxa,compost
yakufta,compound
dineski,comprehend
nefam,comprehensible
noyoxi,compress
sonzino,computational
fadusti,compute
fadusta,compute (object)
tiftuta,computer
wuspagi,conceal
wuspaga,concealment
gulzuvi,conceive
fenoski,concentrate
landud,concept
rinafk,conceptualistic
kefiv,conceptuality
yifkegi,concern
yifkegiha,concerned
yifkegiho,concerning
yesroqi,conclude
subrabo,concrete (solid idea)
debufka,condensate
debufka,condensation
debufki,condense
hazexikano,conditionable
hazexovana,conditionality
hazexovana,conditionality
hazexiho,conditioning
heprimi,conduct
heprimiwa,conductor
veflaki,confer
klafig,conference
sirosa,confession
wabluxi,confide
wabluxihayo,confidingly
spiqiqi,confine (limit within a space)
trevusi,confirm
flivugi,conflate
higzali,conflict (action)
gimdug,confounding
nultisi,confront
yiqkovi,confuse
slugazi,congest (get all blocked up from flowing)
klekifa,congratulation
lofospi,congratulate
grigifi,congregate
grigifa,congregation
vefruva,congruence
sahindi,conjugate
sahinda,conjugation
lardimi,conquer
migavo,conscientious
bramofa,consensus
mumala,consequence
mumalo,consequent
kruzami,conserve
xefragi,consider
plebof,consist
dedino,consistent
wuvesti,console
zowafi,consolidate
yodoga,consonant
yuqatxo,constant
klusoxa,constellation
draviva,constituent
xiyusti,constitute (internal make up)
xiyusta,constitution
xiyustinado,constitutive
budolti,construct
budoltayoga,constructionism
kasrik,construe
vrugifi,consult
vrugifa,consultation
daladi,consume
vruqofi,contact
kowena,contempt
litepa,content
priqaga,contest
sasnosa,continuum
sruvava,contractionary
xosmogo,contrary
gledoma,contraryness
firzasa,contrast
rohumi,contribute
dodruli,control
dodruliho,controlling
fobrub,controversy
siputi,convect
siputa,convection
degigo,convenient
wevreba,convention
wevrebovana,conventionality
lehusti,converse
zizula,conversion
yozusti,convert
vrifeqi,convey
gafkig,convince
trikus,convincing
bipriso,convolute
nolpalo,cool
fahardi,cooperate
fahardo,cooperative
zandugi,coordinate
guxoski,cope
puleta,corner
yorzuzo,corny
txoqeqo,correct
txoqeqa,correction
vruboza,correctness
hasnura,correlation
hasnura,correlation
hasnuroyo,correlatively
zawundi,correspond
zawundiha,corresponding
sminani,corrode
sminana,corrosion
yortini,corrupt
yortinikano,corruptable
yortinikanoyo,corruptibly
yortina,corruption
yortinoyo,corruptly
mafosi,cost
wevaska,counsel
hugrixiha,coupling
trakofa,courage
trakofo,courageous
gloziza,course
weskuva,court
logleda,cousin
snobeni,cover
mesesto,covetous
kegzixo,cowardly
kizdiqo,cozy
xogrebo,crabby
rulospi,crack
gegord,cradle (hold like baby)
razduno,cranky
dazdadi,crash
kofriki,crave
kofrikiho,craving
glubidiho,crawling
forosko,crazy
fapremoyo,creakily
fapremo,creaky
lewoqki,creep
lewoqkoyo,creepily
lewoqkiho,creeping
lewoqkihoyo,creepingly
lewoqko,creepy
danendi,crest
gosloqa,crew
graqefa,crime
graqefiwa,criminal
graqefovana,criminality
kriqafi,cringe
kriqafo,cringey
yozdaga,crinkle
rudrin,cripple
sedefko,crisp
vuvrabi,criticize
fultimi,critique
xikordo,crooked
dibado,cross
poslota,crowd
posloti,crowd (action)
poslotiha,crowded
kemzoqa,crown
snoraso,crude
tribivo,cruel
zepregi,cruise
zeprega,cruise (object)
yogribi,crumble
fexort,crumple
zubreka,crush
wovarpa,crush (on person)
mipruda,crust
miprudo,crusty
bridosi,cry
bridosiho,crying
wabliga,crystal
wabligi,crystalize
hunirpa,crystallization
kisriko,cubic
kisrikoyo,cubicly
twirini,cuddle
witroni,culminate
kivrida,cultivate
snokevo,cultural
snokevoyo,culturally
vinzeg,cumulative
risufo,cunning
risufoyo,cunningly
roneqki,curate
xuskaki,curb (stop and prevent)
lirtes,curdle
pupufti,cure
lusmifo,curious
bestami,curl
bestamo,curly
huslefo,current
huslefoyo,currently
yislaxa,curse
branena,cursor
fubloda,curtain
halzodi,curve
halzodiha,curved
halzodo,curvy
legiza,cushion
sovreko,custom (designed)
dispusi,custom (practice)
dispuso,customary
txoneni,cut
xugesa,cycle
druvez,cyclically
xarika,cylinder
xarika,cylinder
zemzagawa,cynic
zemzago,cynical
sromemo,daily
smurefa,dam
durposi,damage (action)
durposa,damage (object)
durposiha,damaged
durposiho,damaging
nurdiri,damn
slugako,damp
muhuba,dance
friviqa,dancer
gawenoyo,dandily
gaweno,dandy
fefruba,danger
rufrufo,dangerous
busladi,dangle
nenzuni,dare
nenzuna,dare (object)
nenzuniho,daring
nenzunihoyo,daringly
xazdago,dark
xazdaga,darkness
grufuvo,dashing (stylish)
xogirpa,data (processable information)
darula,dawn
sromema,day
gaftixi,daze
hafkami,dazzle
hafkamiho,dazzling
xahavo,dead
xahavoyo,deadly
bremeno,deaf
gokrafi,deafen
katrudiho,deafening
vrosoza,deafness
fovraqa,deal
zuglago,dear
zuglagoyo,dearly
xahava,death
redani,debate
hizdodi,debug
rifirpi,debunk
wasaki,decay
ludospi,deceive
vrizado,decent
vawalti,decide
pigzupa,decimal
yahega,decision
meblisi,declare
kuspizi,decline
benzufi,decorate
klefiza,dedication
twedali,deduct
twedalavano,deductive
hafteso,deep
haftesoyo,deeply
fibroma,default
redraba,defect
redrabi,defect
birpini,defend
fewada,defense
luhirda,deficiency
fubuspi,define
feholt,definition
rofkimi,deflate
miyexi,defrost
tweniba,degeneracy
tunzeti,degrade
muveka,deja vu
debulpa,delay
debulpi,delay (action)
gistexi,delegate
pitusko,delicate
xuburto,delicious
smivezi,delight
smivezihayo,delightedly
vrozeni,deliver
vrozena,deliverance
plaqaqi,delude
riborda,delusion
dreqozi,demand
dreqoziho,demanding
nobrin,demolish
gofreza,demon
rakruvi,demonstrate
godigo,dense
godiga,density
mazuzi,deny
yospozo,departure
gequlti,depend
gequlto,dependent
gequlta,dependent (object)
gequltoyo,dependently
bidirpi,depict
luprani,deplete
zuyoni,depress (push down)
zuyona,depression
zuyona,depression
koyisko,depth
rasrisa,derivation
nohitxi,derive
nohitxi,derive
gaklosi,describe
voxofki,desert (leave alone)
voxofkiha,deserted
hafeni,deserve
zesravi,design
slinumi,designate
slinumi,designate
flobudikano,desirable
flobudikanoyo,desirably
flobudi,desire
trexadi,despair
brazezo,desperate
brazezoyo,desperately
xofika,destination
xofika,destination
nufrufi,destine
flinudi,detail (action)
flinudiha,detailed
difini,detect
difiniwa,detective
klulaxi,deteriorate
susleda,determinacy
fofkoba,determination
fofkobi,determine
fofkobiha,determined
legzus,develop
ralurpi,deviate
sneguxa,device
nibros,devotion
zevifko,devout
yiskigi,diagnose
zagrebo,diagram
waratxa,diameter
saqkadi,die
gunzaqo,different
gunzaqa,differential
woblaqo,difficult
woblaqoyo,difficultly
hixigi,dig
koyiski,digest
vagluza,digit
vagluzoyo,digitally
flafodi,dilate
pupimoyo,diligently
pifipo,dim
pifipi,dim (action)
zevifka,dimension
dronoro,diminish
zagrebi,dip
parputi,direct
risula,directedness
parputa,direction
goplexa,dirt
goplexoyo,dirtily
goplexo,dirty
slulasa,disadvantage
slulasiha,disadvantaged
slulaso,disadvantageous
tufrota,disadvantages
kefligi,disappoint
nosusi,disapprove
nosusiha,disapproved
nosusiho,disapproving
drixokihoyo,disapprovingly
spikoxi,discern
linospiwa,disciple
pasmoto,disciplinary
pasmoti,discipline
sovoza,discord
fehefi,discourage
haspubo,discreet
zoftavo,discrete (vs. continuous)
kospoki,discriminate
wevruni,discuss
wevruna,discussion
kufruvi,disdain
gigleva,disenchantment
govuri,disgrace
dendini,disguise
homduri,disgust
homduriha,disgusted
homdurafaloyo,disgustfully
homduriho,disgusting
bahirta,disk
rineni,dismiss
rastoso,disparate
sazdidi,displace
xestavi,display
yukalpa,disposition
lowaki,dissect
speviki,disseminate
danzumi,dissipate
fiyardi,dissolve
sehifta,distance
sehifto,distant
sehiftoyo,distantly
riklaqo,distinct
srizogi,distinguish
slubefi,distort
yoxosti,distract
yoxostihayo,distractedly
yoxostiho,distracting
yoxostihoyo,distractingly
zugloqi,distress
vadrix,distribute
kaqifki,disturb
fribebi,dive
voskuxo,diverse
voskuxi,diversify
voskuxa,diversion
voskuxovana,diversity
yebroxo,divine
yebroxa,divinity
tapespi,divorce
lorpaboyo,dizzily
lorpabo,dizzy
dagovi,do business
fiftafi,do without permission
henzodo,docile
tramezo,domestic
tramezoyo,domestically
tramezi,domesticate
flodubi,dominate
floduba,domination
nasufa,door
wifkiva,dot
txixoki,double check
husmama,doubt
sezdeso,down
satxis,dowse
rubin,drab
nusnosi,drag
desirpi,drain
brovuxo,dramatic
txefani,draw
txefana,drawing (object)
sublina,dread
sublinafaloyo,dreadfully
bezdari,dream
wuplok,drench
kuzufti,dress
hadeft,drift
spirebi,drill
weslixi,drink
vurtuli,drip
truvedi,drive
truveda,drive (object)
budaska,drone
yovasp,drool
ximzag,droop
klovusi,drop
xukeqko,drowsy
biflala,drudgery
gredeza,drug
diglama,drum
diglami,drum (action)
niratxo,dry
niratxi,dry (action)
niratxoyo,dryly
muyovo,dual
muyova,duality
grobuz,dubious
yetxuvi,duck (action
nofrebo,ductile
xekuba,due
laklixo,dull
fasofto,dumb
vefevo,during
biprasa,dust
zezoqka,dwarf
prusafi,dwell
ramzino,dynamical
fitxora,dynamite
kisrovo,each
woflako,eager
woflaki,eager (action)
vrumuga,ear
vrukiso,earlier
waglevo,early
vemzuq,earning
liyuf,earth
hedruna,east
hedruno,eastern
